Id;Title;Distributor;Genre
119;Wimbledon;Universal;Romantic-Comedy
120;The Girl Next Door;20th Century Fox;Romantic-Comedy
121;Breakin' All the Rules;20th Century Fox;Romantic-Comedy
122;Chasing Liberty;Warner Bros.;Romantic-Comedy
123;First Daughter;20th Century Fox;Romantic-Comedy
124;Love Actually;Universal;Romantic-Comedy
125;Love Don't Cost a Thing;Warner Bros.;Romantic-Comedy
126;Mujhse Shaadi Karogi;Zee Studios;Romantic-Comedy
127;Hum Tum;Yash Raj Films;Romantic-Comedy
128;Touch of Pink;Sony Pictures Cla…;Romantic-Comedy
129;Love Me If You Dare;Paramount Vantage;Romantic-Comedy
130;Nez Rouge;Christal Films;Romantic-Comedy
131;Kyun! Ho Gaya Na...;;Romantic-Comedy
132;Flavors;Net Effect;Romantic-Comedy
133;Seeing Other People;Lantern Lane Ente…;Romantic-Comedy
134;Intolerable Cruelty;Universal;Romantic-Comedy
135;The Bread, My Sweet;Panorama Entertai…;Romantic-Comedy
136;Cowards Bend the Knee;Zeitgeist;Romantic-Comedy
137;Easy;Magic Lamp;Romantic-Comedy
138;Perfect Opposites;;Romantic-Comedy
139;Swing;RMH Media/Dominio…;Romantic-Comedy
140;Lan se da men;Strand;Romantic-Comedy
142;Hitch;Sony Pictures;Romantic-Comedy
143;Are We There Yet?;Sony Pictures;Romantic-Comedy
144;Just Like Heaven;Dreamworks SKG;Romantic-Comedy
145;Must Love Dogs;Warner Bros.;Romantic-Comedy
146;Fever Pitch;20th Century Fox;Romantic-Comedy
147;The Wedding Date;Universal;Romantic-Comedy
148;Just Friends;New Line;Romantic-Comedy
149;Prime;Universal;Romantic-Comedy
150;A Lot Like Love;Walt Disney;Romantic-Comedy
151;The Perfect Man;Universal;Romantic-Comedy
152;Broken Flowers;Focus Features;Romantic-Comedy
153;Undiscovered;Lionsgate;Romantic-Comedy
154;Shall We Dance?;Miramax;Romantic-Comedy
155;Little Manhattan;20th Century Fox;Romantic-Comedy
156;Deewane Huye Paagal;UTV Communications;Romantic-Comedy
157;Bridget Jones: The Edge Of …;Universal;Romantic-Comedy
158;Side Effects;Sky Island;Romantic-Comedy
159;Girl Play;Wolfe Releasing;Romantic-Comedy
161;The Break-Up;Universal;Romantic-Comedy
162;Failure to Launch;Paramount Pictures;Romantic-Comedy
163;The Holiday;Sony Pictures;Romantic-Comedy
164;John Tucker Must Die;20th Century Fox;Romantic-Comedy
165;Sheâs the Man;Paramount Pictures;Romantic-Comedy
166;My Super Ex-Girlfriend;20th Century Fox;Romantic-Comedy
167;Just My Luck;20th Century Fox;Romantic-Comedy
168;The Last Kiss;Paramount Pictures;Romantic-Comedy
169;Scoop;Focus/Rogue Pictures;Romantic-Comedy
170;Phat Girlz;Fox Searchlight;Romantic-Comedy
171;Boynton Beach Club;Wingate Distribution;Romantic-Comedy
172;Just Friends;New Line;Romantic-Comedy
173;Imagine Me & You;Fox Searchlight;Romantic-Comedy
174;The Oh in Ohio;Cyan;Romantic-Comedy
175;Adam & Steve;TLA Releasing;Romantic-Comedy
176;Seres Queridos;Magnolia Pictures;Romantic-Comedy
177;Confetti;Fox Searchlight;Romantic-Comedy
178;Pyar Ke Side Effects;Eros Entertainment;Romantic-Comedy
179;Quand la mer monte...;New Yorker;Romantic-Comedy
180;April's Shower;Regent Releasing;Romantic-Comedy
181;Sleeping Dogs Lie;IDP/Goldwyn/Roadside;Romantic-Comedy
182;My First Wedding;Indican Pictures;Romantic-Comedy
183;Zerophilia;Microangelo Enter…;Romantic-Comedy
185;Knocked Up;Universal;Romantic-Comedy
186;Enchanted;Walt Disney;Romantic-Comedy
187;Music and Lyrics;Warner Bros.;Romantic-Comedy
188;Dan in Real Life;Walt Disney;Romantic-Comedy
189;License to Wed;Warner Bros.;Romantic-Comedy
190;No Reservations;Warner Bros.;Romantic-Comedy
191;Because I Said So;Universal;Romantic-Comedy
192;The Heartbreak Kid;Paramount Pictures;Romantic-Comedy
193;Good Luck Chuck;Lionsgate;Romantic-Comedy
194;Daddy's Little Girls;Lionsgate;Romantic-Comedy
195;P.S. I Love You;Warner Bros.;Romantic-Comedy
196;Waitress;Fox Searchlight;Romantic-Comedy
197;Catch and Release;Sony Pictures;Romantic-Comedy
198;The Holiday;Sony Pictures;Romantic-Comedy
199;I Think I Love My Wife;Fox Searchlight;Romantic-Comedy
200;The Perfect Holiday;Yari Film Group R…;Romantic-Comedy
201;The Ex;MGM;Romantic-Comedy
